elapsed_seconds,mode,component,pid,rss_kib,cpu_percent,cpu_time
573.677,old,rust,2624,19952,0.0,0:00.18
573.683,new,go,2625,21648,0.0,0:00.02
573.687,new,rust,2626,20112,0.0,0:00.03
578.699,old,go,2621,24336,0.0,0:00.18
578.705,old,rust,2624,19952,0.0,0:00.18
578.711,new,go,2625,21648,0.0,0:00.02
578.716,new,rust,2626,20112,0.0,0:00.03
583.729,old,go,2621,24336,0.0,0:00.18
583.735,old,rust,2624,19952,0.0,0:00.18
583.741,new,go,2625,21648,0.0,0:00.02
583.746,new,rust,2626,20112,0.0,0:00.03
588.758,old,go,2621,24336,0.0,0:00.18
588.764,old,rust,2624,19952,0.0,0:00.18
588.769,new,go,2625,21648,0.0,0:00.02
588.775,new,rust,2626,20112,0.0,0:00.03
593.786,old,go,2621,24336,0.0,0:00.18
593.791,old,rust,2624,19952,0.1,0:00.19
593.797,new,go,2625,21648,0.0,0:00.02
593.802,new,rust,2626,20112,0.0,0:00.03
598.81,old,go,2621,24336,0.0,0:00.18
598.816,old,rust,2624,19952,0.0,0:00.19
598.821,new,go,2625,21648,0.0,0:00.02
598.826,new,rust,2626,20112,0.0,0:00.03
603.837,old,go,2621,24320,0.1,0:00.19
603.843,old,rust,2624,20000,0.4,0:00.19
603.849,new,go,2625,21680,0.1,0:00.02
603.853,new,rust,2626,20208,0.4,0:00.03
608.865,old,go,2621,24480,0.8,0:00.23
608.87,old,rust,2624,20432,0.9,0:00.23
608.874,new,go,2625,21952,0.1,0:00.06
608.879,new,rust,2626,20592,0.1,0:00.06
613.886,old,go,2621,24496,0.4,0:00.26
613.892,old,rust,2624,20464,0.7,0:00.26
613.897,new,go,2625,23344,0.0,0:00.10
613.902,new,rust,2626,20608,0.1,0:00.09
618.915,old,go,2621,26560,1.3,0:00.30
618.92,old,rust,2624,25712,1.8,0:00.39
618.925,new,go,2625,23888,0.0,0:00.13
618.93,new,rust,2626,20608,0.0,0:00.12
623.94,old,go,2621,26624,0.0,0:00.32
623.946,new,go,2625,25168,0.0,0:00.17
623.951,new,rust,2626,26688,0.0,0:00.32
